significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
59.2845, 59.2845, 245.2116, 186.5417, 126.8956, 58.6699, 118.3161, 62.8669, 115.0007, 130.2109, 1.3426, 0.7983, 0, 22, 1165173742.2592, 39.0908, 1165173730.5000, 34.2500, 20.0000, 10.5000, 118, 6, 33, 1, 10
23.5946, 23.5946, 190.5712, 93.7376, 88.4849, 96.8336, 102.0864, 23.9778, 167.9668, 22.6044, 1.4403, 0.6211, 0, 16, 1165173837.2724, 187.7610, 1165173832.5000, 186.2500, 13.0000, 4.0000, 123, 34, 34, 1, 10
24.7146, 24.7146, 195.5833, 96.4012, 91.2221, 99.1821, 104.3612, 24.9086, 172.7898, 22.7935, 1.4403, 0.6211, 0, 16, 1165173837.2872, 187.7659, 1165173832.5000, 186.2500, 13.0000, 4.0000, 124, 32, 35, 1, 10
15.3506, 15.3506, 110.4911, 56.4323, 43.7104, 54.0588, 66.7807, 12.2710, 90.9919, 19.4992, 1.3907, 0.7089, 0, 9, 1165173842.9790, 141.0455, 1165173841.2500, 139.5000, 4.0000, 3.0000, 127, 27, 36, 1, 10
24.2096, 24.2096, 193.2541, 95.1897, 90.0210, 98.0644, 103.2331, 24.3196, 170.6781, 22.5759, 1.4403, 0.6211, 0, 16, 1165173837.2722, 187.7648, 1165173832.5000, 186.2500, 13.0000, 4.0000, 130, 31, 37, 1, 10
23.8097, 23.8097, 192.4829, 94.2584, 89.0339, 98.2245, 103.4490, 25.0616, 169.7252, 22.7577, 1.4403, 0.6211, 0, 16, 1165173837.2869, 187.7577, 1165173832.5000, 186.2500, 13.0000, 4.0000, 140, 29, 38, 1, 10
24.1432, 24.1432, 193.7641, 95.0671, 89.8681, 98.6970, 103.8960, 24.7314, 170.9028, 22.8612, 1.4403, 0.6211, 0, 16, 1165173837.2685, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 145, 31, 39, 1, 10
24.1772, 24.1772, 193.5824, 95.1332, 89.9298, 98.4493, 103.6526, 24.9988, 170.8207, 22.7617, 1.4403, 0.6211, 0, 16, 1165173837.2702, 187.7652, 1165173832.5000, 186.2500, 13.0000, 4.0000, 148, 32, 40, 1, 10
81.4396, 81.4396, 261.9990, 238.2813, 163.6526, 23.7177, 98.3464, 94.3407, 79.6967, 182.3023, 1.2963, 0.8896, 0, 22, 1165173769.8503, 51.9079, 1165173764.2500, 44.5000, 10.0000, 15.0000, 150, 15, 41, 1, 10
17.5396, 17.5396, 77.3034, 58.8921, 48.0200, 18.4113, 29.2834, 19.2884, 26.0401, 51.2634, 1.3426, 0.7983, 0, 8, 1165173750.2048, 37.6383, 1165173746.5000, 35.2500, 8.0000, 4.5000, 158, 10, 42, 1, 10
