significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
24.1825,24.1825,193.6059,95.1454,89.9409,98.4604,103.6650,25.0024,170.8389,22.7669,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,411,31,89,1,10
446.2599,446.2599,1231.5816,1135.6851,722.9043,95.8965,508.6773,374.7810,412.7414,818.8402,1.3907,0.7089,0,55,1165173920.3112,43.6935,1165173914.3750,29.0000,8.2500,30.0000,415,55,90,1,10
21.6886,21.6886,128.0429,72.0804,57.8648,55.9625,70.1781,5.2562,121.1291,6.9137,1.3907,0.7089,0,9,1165173836.9927,163.3562,1165173834.5000,162.2500,7.0000,3.0000,418,41,91,1,10
24.1085,24.1085,193.6181,94.9734,89.7707,98.6447,103.8473,25.0138,170.8254,22.7927,1.4403,0.6211,0,16,1165173837.2696,187.7652,1165173832.5000,186.2500,13.0000,4.0000,420,34,92,1,10
24.1109,24.1109,192.1749,94.9523,89.9427,97.2225,102.2322,24.6098,169.7381,22.4368,1.4403,0.6211,0,16,1165173837.2746,187.7622,1165173832.5000,186.2500,13.0000,4.0000,421,32,93,1,10
24.1804,24.1804,193.5945,95.1406,89.9360,98.4539,103.6585,25.0030,170.8255,22.7690,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,425,31,94,1,10
24.1777,24.1777,193.5903,95.1340,89.9285,98.4562,103.6618,25.0012,170.8238,22.7665,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,427,30,95,1,10
2539.1992,2539.1992,6159.1781,5876.1022,3165.4647,283.0758,2993.7134,2383.3721,2460.2077,3698.9704,1.3426,0.7820,0,173,1165173934.4905,151.1379,1165173930.3750,107.0000,10.2500,138.0000,431,60,96,1,10
24.2831,24.2831,192.0479,95.2962,90.2275,96.7518,101.8205,23.6031,169.8120,22.2360,1.4403,0.6211,0,16,1165173837.2868,187.7633,1165173832.5000,186.2500,13.0000,4.0000,435,37,97,1,10
24.1767,24.1767,193.5769,95.1320,89.9278,98.4448,103.6491,25.0006,170.8106,22.7663,1.4403,0.6211,0,16,1165173837.2702,187.7652,1165173832.5000,186.2500,13.0000,4.0000,437,35,98,1,10
23.2255,23.2255,188.2558,92.8080,87.6934,95.4478,100.5624,22.3859,166.0246,22.2312,1.4403,0.6211,0,16,1165173837.2871,187.7593,1165173832.5000,186.2500,13.0000,4.0000,438,38,99,1,10
24.1203,24.1203,192.4618,94.9539,89.6117,97.5079,102.8500,21.9365,170.0519,22.4098,1.4403,0.6211,0,16,1165173837.2772,187.7623,1165173832.5000,186.2500,13.0000,4.0000,445,36,100,1,10
1318.6504,1318.6504,3366.5851,3198.6434,1747.5664,167.9418,1619.0187,1397.4636,1388.3553,1978.2299,1.2963,0.8733,0,128,1165173948.2963,147.7379,1165173944.1250,109.0000,9.7500,124.0000,458,64,101,1,10
